Time:,Angular Acceleration:,Angular Velocity:,Angle:,Force: x:,y:,Acceleration: x:,y:,Velocity: x:,y:,Position: x:,y:
0,0,0,0,5e+07,0,50,0,50,0,25,0
1,0,0,0,5e+07,0,50,0,100,0,100,0
2,0,0,0,5e+07,0,50,0,150,0,225,0
3,0,0,0,5e+07,0,50,0,200,0,400,0
4,0,0,0,5e+07,0,50,0,250,0,625,0
5,0,0,0,5e+07,0,50,0,300,0,900,0
6,0,0,0,5e+07,0,50,0,350,0,1225,0
7,0,0,0,5e+07,0,50,0,400,0,1600,0
8,0,0,0,5e+07,0,50,0,450,0,2025,0
9,0,0,0,5e+07,0,50,0,500,0,2500,0
10,0,0,0,5e+07,0,50,0,550,0,3025,0
11,0,0,0,5e+07,0,50,0,600,0,3600,0
12,0,0,0,5e+07,0,50,0,650,0,4225,0
13,0,0,0,5e+07,0,50,0,700,0,4900,0
14,0,0,0,5e+07,0,50,0,750,0,5625,0
15,0,0,0,5e+07,0,50,0,800,0,6400,0
16,0,0,0,5e+07,0,50,0,850,0,7225,0
17,0,0,0,5e+07,0,50,0,900,0,8100,0
18,0,0,0,5e+07,0,50,0,950,0,9025,0
19,0,0,0,5e+07,0,50,0,1000,0,10000,0
20,0,0,0,5e+07,0,50,0,1050,0,11025,0
21,0,0,0,5e+07,0,50,0,1100,0,12100,0
22,0,0,0,5e+07,0,50,0,1150,0,13225,0
23,0,0,0,5e+07,0,50,0,1200,0,14400,0
24,0,0,0,5e+07,0,50,0,1250,0,15625,0
25,0,0,0,5e+07,0,50,0,1300,0,16900,0
26,0,0,0,5e+07,0,50,0,1350,0,18225,0
27,0,0,0,5e+07,0,50,0,1400,0,19600,0
28,0,0,0,5e+07,0,50,0,1450,0,21025,0
29,0,0,0,5e+07,0,50,0,1500,0,22500,0
30,0,0,0,5e+07,0,50,0,1550,0,24025,0
31,0.0235618,0.0235618,0.0117809,2.49983e+07,294516,24.9983,0.294516,1575,0.294516,25587.5,0.147258
32,0.0235618,0.0471236,0.0471236,2.49722e+07,1.17765e+06,24.9722,1.17765,1599.97,1.47217,27175,1.0306
33,0.0235618,0.0706854,0.106028,2.48596e+07,2.64574e+06,24.8596,2.64574,1624.83,4.11791,28787.4,3.82564
34,0.0235618,0.0942472,0.188494,2.45572e+07,4.6845e+06,24.5572,4.6845,1649.39,8.80241,30424.5,10.2858
35,0.0235618,0.117809,0.294522,2.39235e+07,7.25707e+06,23.9235,7.25707,1673.31,16.0595,32085.8,22.7168
36,0.0235618,0.141371,0.424112,2.27851e+07,1.02878e+07,22.7851,10.2878,1696.1,26.3473,33770.5,43.9201
37,0.0235618,0.164933,0.577264,2.0949e+07,1.36433e+07,20.949,13.6433,1717.04,39.9906,35477.1,77.0891
38,0.0235618,0.188494,0.753978,1.82243e+07,1.71136e+07,18.2243,17.1136,1735.27,57.1042,37203.3,125.637
39,0.0235618,0.212056,0.954253,1.44555e+07,2.03971e+07,14.4555,20.3971,1749.72,77.5013,38945.8,192.939
40,0.0235618,0.235618,1.17809,9.56725e+06,2.30969e+07,9.56725,23.0969,1759.29,100.598,40700.3,281.989
41,0.0235618,0.25918,1.42549,3.61991e+06,2.47365e+07,3.61991,24.7365,1762.91,125.335,42461.4,394.955
42,0.0235618,0.282742,1.69645,-3.13307e+06,2.48029e+07,-3.13307,24.8029,1759.78,150.138,44222.7,532.692
43,0.0235618,0.306303,1.99097,-1.0198e+07,2.28254e+07,-10.198,22.8254,1749.58,172.963,45977.4,694.242
44,0.0235618,0.329865,2.30906,-1.68251e+07,1.8491e+07,-16.8251,18.491,1732.76,191.454,47718.6,876.451
45,0.0235618,0.353427,2.6507,-2.20478e+07,1.17853e+07,-22.0478,11.7853,1710.71,203.239,49440.3,1073.8
46,0.0235618,0.376989,3.01591,-2.48028e+07,3.13379e+06,-24.8028,3.13379,1685.9,206.373,51138.6,1278.6
47,0.0235618,0.400551,3.40468,-2.41398e+07,-6.50158e+06,-24.1398,-6.50158,1661.77,199.872,52812.4,1481.73
48,0.0235618,0.424112,3.81701,-1.95111e+07,-1.56306e+07,-19.5111,-15.6306,1642.25,184.241,54464.5,1673.78
49,0.0235618,0.447674,4.25291,-1.10871e+07,-2.2407e+07,-11.0871,-22.407,1631.17,161.834,56101.2,1846.82
50,0.0235618,0.471236,4.71236,-714.958,-2.5e+07,-0.000714958,-25,1631.17,136.834,57732.3,1996.15
51,0.0235618,0.494798,5.19538,0,0,0,0,1631.17,136.834,59363.5,2132.99
52,0.0235618,0.51836,5.70196,0,0,0,0,1631.17,136.834,60994.7,2269.82
53,0.0235618,0.541921,6.2321,0,0,0,0,1631.17,136.834,62625.8,2406.66
54,0.0235618,0.565483,6.7858,0,0,0,0,1631.17,136.834,64257,2543.49
55,0.0235618,0.589045,7.36306,0,0,0,0,1631.17,136.834,65888.2,2680.32
56,0.0235618,0.612607,7.96389,-0,0,-0,0,1631.17,136.834,67519.3,2817.16
57,0.0235618,0.636169,8.58828,-0,0,-0,0,1631.17,136.834,69150.5,2953.99
58,0.0235618,0.65973,9.23623,-0,0,-0,0,1631.17,136.834,70781.7,3090.83
59,0.0235618,0.683292,9.90774,0,-0,0,-0,1631.17,136.834,72412.8,3227.66
60,0.0235618,0.706854,10.6028,0,-0,0,-0,1631.17,136.834,74044,3364.49
